TIME,Value
30/09/2000,10319.83
31/10/2000,10319.83
30/11/2000,10319.83
31/12/2000,10439.02
31/01/2001,10439.02
28/02/2001,10439.02
31/03/2001,10472.88
30/04/2001,10472.88
31/05/2001,10472.88
30/06/2001,10597.82
31/07/2001,10597.82
31/08/2001,10597.82
30/09/2001,10596.29
31/10/2001,10596.29
30/11/2001,10596.29
31/12/2001,10660.29
31/01/2002,10660.29
28/02/2002,10660.29
31/03/2002,10788.95
30/04/2002,10788.95
31/05/2002,10788.95
30/06/2002,10893.21
31/07/2002,10893.21
31/08/2002,10893.21
30/09/2002,10992.05
31/10/2002,10992.05
30/11/2002,10992.05
31/12/2002,11071.46
31/01/2003,11071.46
28/02/2003,11071.46
31/03/2003,11183.51
30/04/2003,11183.51
31/05/2003,11183.51
30/06/2003,11312.88
31/07/2003,11312.88
31/08/2003,11312.88
30/09/2003,11567.33
31/10/2003,11567.33
30/11/2003,11567.33
31/12/2003,11769.27
31/01/2004,11769.27
29/02/2004,11769.27
31/03/2004,11920.17
30/04/2004,11920.17
31/05/2004,11920.17
30/06/2004,12108.99
31/07/2004,12108.99
31/08/2004,12108.99
30/09/2004,12303.34
31/10/2004,12303.34
30/11/2004,12303.34
31/12/2004,12522.42
31/01/2005,12522.42
28/02/2005,12522.42
31/03/2005,12761.34
30/04/2005,12761.34
31/05/2005,12761.34
30/06/2005,12910.02
31/07/2005,12910.02
31/08/2005,12910.02
30/09/2005,13142.87
31/10/2005,13142.87
30/11/2005,13142.87
31/12/2005,13332.32
31/01/2006,13332.32
28/02/2006,13332.32
31/03/2006,13603.93
30/04/2006,13603.93
31/05/2006,13603.93
30/06/2006,13749.81
31/07/2006,13749.81
31/08/2006,13749.81
30/09/2006,13867.47
31/10/2006,13867.47
30/11/2006,13867.47
31/12/2006,14037.23
31/01/2007,14037.23
28/02/2007,14037.23
31/03/2007,14208.57
30/04/2007,14208.57
31/05/2007,14208.57
30/06/2007,14382.36
31/07/2007,14382.36
31/08/2007,14382.36
30/09/2007,14535
