TIME,Value
30/09/2000,173.6
31/10/2000,173.9
30/11/2000,174.2
31/12/2000,174.6
31/01/2001,175.6
28/02/2001,176
31/03/2001,176.1
30/04/2001,176.4
31/05/2001,177.3
30/06/2001,177.7
31/07/2001,177.4
31/08/2001,177.4
30/09/2001,178.1
31/10/2001,177.6
30/11/2001,177.5
31/12/2001,177.4
31/01/2002,177.7
28/02/2002,178
31/03/2002,178.5
30/04/2002,179.3
31/05/2002,179.5
30/06/2002,179.6
31/07/2002,180
31/08/2002,180.5
30/09/2002,180.8
31/10/2002,181.2
30/11/2002,181.5
31/12/2002,181.8
31/01/2003,182.6
28/02/2003,183.6
31/03/2003,183.9
30/04/2003,183.2
31/05/2003,182.9
30/06/2003,183.1
31/07/2003,183.7
31/08/2003,184.5
30/09/2003,185.1
31/10/2003,184.9
30/11/2003,185
31/12/2003,185.5
31/01/2004,186.3
29/02/2004,186.7
31/03/2004,187.1
30/04/2004,187.4
31/05/2004,188.2
30/06/2004,188.9
31/07/2004,189.1
31/08/2004,189.2
30/09/2004,189.8
31/10/2004,190.8
30/11/2004,191.7
31/12/2004,191.7
31/01/2005,191.6
28/02/2005,192.4
31/03/2005,193.1
30/04/2005,193.7
31/05/2005,193.6
30/06/2005,193.7
31/07/2005,194.9
31/08/2005,196.1
30/09/2005,198.8
31/10/2005,199.1
30/11/2005,198.1
31/12/2005,198.1
31/01/2006,199.3
28/02/2006,199.4
31/03/2006,199.7
30/04/2006,200.7
31/05/2006,201.3
30/06/2006,201.8
31/07/2006,202.9
31/08/2006,203.8
30/09/2006,202.8
31/10/2006,201.9
30/11/2006,202
31/12/2006,203.1
31/01/2007,203.437
28/02/2007,204.226
31/03/2007,205.288
30/04/2007,205.904
31/05/2007,206.755
30/06/2007,207.234
31/07/2007,207.603
31/08/2007,207.667
30/09/2007,208.547
31/10/2007,209.19
30/11/2007,210.834
31/12/2007,211.445
31/01/2008,212.174
29/02/2008,212.687
31/03/2008,213.448
30/04/2008,213.942
31/05/2008,215.208
30/06/2008,217.463
31/07/2008,219.016
31/08/2008,218.69
30/09/2008,218.877
31/10/2008,216.995
30/11/2008,213.153
31/12/2008,211.398
31/01/2009,211.933
28/02/2009,212.705
31/03/2009,212.495
30/04/2009,212.709
31/05/2009,213.022
30/06/2009,214.79
31/07/2009,214.726
31/08/2009,215.445
30/09/2009,215.861
31/10/2009,216.509
30/11/2009,217.234
31/12/2009,217.347
31/01/2010,217.488
28/02/2010,217.281
31/03/2010,217.353
30/04/2010,217.403
31/05/2010,217.29
30/06/2010,217.199
31/07/2010,217.605
31/08/2010,217.923
30/09/2010,218.275
31/10/2010,219.035
30/11/2010,219.59
31/12/2010,220.472
31/01/2011,221.187
28/02/2011,221.898
31/03/2011,223.046
30/04/2011,224.093
31/05/2011,224.806
30/06/2011,224.806
31/07/2011,225.395
31/08/2011,226.106
30/09/2011,226.597
31/10/2011,226.75
30/11/2011,227.169
31/12/2011,227.223
31/01/2012,227.842
29/02/2012,228.329
31/03/2012,228.807
30/04/2012,229.187
31/05/2012,228.713
30/06/2012,228.524
31/07/2012,228.59
31/08/2012,229.918
30/09/2012,231.015
31/10/2012,231.638
30/11/2012,231.249
31/12/2012,231.221
31/01/2013,231.679
28/02/2013,232.937
31/03/2013,232.282
30/04/2013,231.797
31/05/2013,231.893
30/06/2013,232.445
31/07/2013,232.9
31/08/2013,233.456
30/09/2013,233.544
31/10/2013,233.669
30/11/2013,234.1
31/12/2013,234.719
31/01/2014,235.288
28/02/2014,235.547
31/03/2014,236.028
30/04/2014,236.468
31/05/2014,236.918
30/06/2014,237.231
31/07/2014,237.498
31/08/2014,237.46
30/09/2014,237.477
31/10/2014,237.43
30/11/2014,236.983
31/12/2014,236.252
31/01/2015,234.747
28/02/2015,235.342
31/03/2015,235.976
30/04/2015,236.222
31/05/2015,237.001
30/06/2015,237.657
31/07/2015,238.034
31/08/2015,238.033
30/09/2015,237.498
31/10/2015,237.733
30/11/2015,238.017
31/12/2015,237.761
31/01/2016,237.827
29/02/2016,237.514
31/03/2016,237.99
30/04/2016,238.835
31/05/2016,239.44
30/06/2016,240.144
31/07/2016,240.111
31/08/2016,240.595
30/09/2016,241.068
31/10/2016,241.641
30/11/2016,241.993
31/12/2016,242.712
31/01/2017,243.717
28/02/2017,244.028
31/03/2017,243.721
30/04/2017,244.058
31/05/2017,243.926
30/06/2017,244.179
31/07/2017,244.328
31/08/2017,245.304
30/09/2017,246.445
31/10/2017,246.57
30/11/2017,247.333
31/12/2017,247.847
31/01/2018,248.816
28/02/2018,249.475
31/03/2018,249.413
30/04/2018,249.957
31/05/2018,250.64
30/06/2018,251.176
31/07/2018,251.482
31/08/2018,251.905
30/09/2018,252.261
31/10/2018,252.777
30/11/2018,252.662
31/12/2018,252.653
31/01/2019,252.55
28/02/2019,253.181
31/03/2019,254.095
30/04/2019,254.943
31/05/2019,255.167
30/06/2019,255.402
31/07/2019,256.087
31/08/2019,256.294
30/09/2019,256.593
31/10/2019,257.229
30/11/2019,257.824
31/12/2019,258.444
31/01/2020,258.82
29/02/2020,259.05
31/03/2020,257.953
30/04/2020,255.902
31/05/2020,255.768
30/06/2020,257.214
31/07/2020,258.723
31/08/2020,259.681
30/09/2020,260.209
