TIME,Value
30/11/2017,58.1
31/12/2017,58.8
31/01/2018,57.1
28/02/2018,55.2
31/03/2018,55.1
30/04/2018,54.1
31/05/2018,54.9
30/06/2018,54.3
31/07/2018,54.5
31/08/2018,54.1
30/09/2018,53.1
31/10/2018,52.7
30/11/2018,51.1
31/12/2018,51
31/01/2019,51.9
28/02/2019,51.6
31/03/2019,51.5
30/04/2019,51.8
31/05/2019,52.2
30/06/2019,51.5
31/07/2019,51.9
31/08/2019,50.1
30/09/2019,50.6
31/10/2019,50.6
30/11/2019,50.9
31/12/2019,51.3
31/01/2020,51.6
29/02/2020,29.7
31/03/2020,13.6
30/04/2020,31.9
31/05/2020,48.5
30/06/2020,54.9
31/07/2020,51.9
31/08/2020,50.4
30/09/2020,50
